episode_id,step,reward_mean_0,reward_mean_1,reward_total_0,reward_total_1,episode_length_steps,avg_speed_0_kmh,avg_speed_1_kmh,max_speed_0_kmh,max_speed_1_kmh,avg_angle_0_rad,avg_angle_1_rad,laps_0,laps_1,overtakes_0,overtakes_1,min_distance_m,avg_distance_m,pct_leader_0,pct_leader_1,max_meters_traveled_0,max_meters_traveled_1,max_progress_pct_0,max_progress_pct_1,best_lap_time_0_s,best_lap_time_1_s,policy_loss,value_loss,reason
0,57,-1.5543,-1.4935,-88.60,-85.13,57,29.41,27.81,35.10,35.09,0.106,0.258,0,0,0,0,3.08,1.58,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
1,104,-1.6828,-1.8839,-79.09,-88.54,47,29.37,30.02,34.31,34.30,0.194,0.111,0,0,0,0,2.51,0.77,61.7,38.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
2,136,-0.6350,-0.6824,-20.32,-21.84,32,31.58,31.48,34.27,34.48,0.079,0.104,0,0,0,0,2.41,0.12,93.8,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
3,172,-0.1581,-0.0422,-5.69,-1.52,36,14.88,29.84,30.23,34.41,0.393,0.138,0,0,0,0,9.66,2.44,36.1,63.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
4,213,-0.0682,0.0560,-2.80,2.30,41,31.46,14.14,34.21,30.23,0.111,0.165,0,0,0,0,9.06,5.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
5,255,0.0497,0.2997,2.09,12.59,42,30.42,32.58,34.16,34.83,0.197,0.057,0,0,0,0,4.51,0.57,71.4,28.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
6,290,0.2898,0.0002,10.14,0.01,35,31.22,30.65,34.21,34.43,0.199,0.134,0,0,0,0,3.24,0.06,97.1,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
7,326,0.2988,0.0114,10.76,0.41,36,31.90,30.56,34.43,34.41,0.053,0.135,0,0,0,0,5.84,0.22,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
8,369,-0.2156,-0.4045,-9.27,-17.39,43,32.29,31.72,35.74,34.41,0.201,0.112,0,0,0,0,2.28,0.23,88.4,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
9,401,0.2888,-1.9754,9.24,-63.21,32,31.52,25.35,34.32,34.23,0.234,0.233,0,0,0,0,3.77,0.37,90.6,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
10,443,0.0488,0.0272,2.05,1.14,42,31.33,31.54,34.43,34.33,0.124,0.199,0,0,0,0,2.89,0.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
11,475,0.2735,-0.0675,8.75,-2.16,32,24.17,31.95,30.24,34.46,0.186,0.143,0,0,0,0,9.06,1.81,28.1,71.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
12,511,-0.4726,-0.0349,-17.01,-1.26,36,13.03,30.55,34.21,34.43,0.454,0.420,0,0,0,0,6.34,3.17,36.1,63.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
13,543,-5.8009,-5.6658,-185.63,-181.31,32,28.35,29.85,34.21,34.23,0.268,0.067,0,0,0,0,2.37,0.69,65.6,34.4,NaN,NaN,NaN,NaN,NaN,NaN,-0.16333,21.70148,car_collision
14,577,-2.1975,0.2703,-74.72,9.19,34,19.99,24.38,34.21,30.23,0.329,0.148,0,0,0,0,4.76,0.88,91.2,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
15,612,0.2471,-0.4474,8.65,-15.66,35,32.39,16.52,34.43,34.41,0.023,0.388,0,0,0,0,8.69,2.51,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
16,645,-2.6752,-2.9851,-88.28,-98.51,33,30.53,28.46,34.27,34.43,0.200,0.204,0,0,0,0,3.05,0.30,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
